Table: Total Primary Energy Consumption per Capita (Million Btu per Person);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009
Honduras;;9.74819;8.70818;8.58394;8.66709;8.59895;7.90254;8.90302;8.31101;10.0706;11.29594;12.36853;11.94985;11.91099;11.43149;11.29919;11.70198;12.84621;12.69196;13.29286;14.13207;13.52537;14.23744;14.60221;14.6274;15.52765;16.20054;16.69096;17.90524;17.241;17.43696
Jamaica;;52.96658;44.07997;37.66983;40.05708;32.61826;29.20159;29.37279;31.56085;36.3646;41.63643;44.06458;44.73056;48.62658;46.88058;50.02712;54.42137;55.06718;57.29001;57.7931;58.77582;55.94061;55.64922;56.48034;58.2558;58.354;55.74078;62.10219;64.79763;63.6546;57.28714
Martinique;;27.56637;26.95308;26.73761;26.19075;23.22;27.72521;29.49752;33.06591;39.1559;54.95648;58.52261;47.78214;52.68131;64.85955;69.39467;70.19989;69.38678;68.7817;68.22648;67.07289;67.67101;67.88729;68.17871;70.48087;72.42865;76.65579;76.49434;79.38933;70.79567;84.46878
Montserrat;;21.75021;24.0095;24.26685;24.48097;24.82084;27.20127;27.58472;31.84233;36.18192;36.68235;49.28108;45.86755;54.50701;54.96813;55.49713;64.4841;77.45131;111.05301;208.72413;208.90949;189.8076;177.39666;156.33772;187.14959;186.16234;214.40686;228.5013;254.87589;229.36791;414.9745
Netherlands Antilles;;1023.12044;948.51314;904.41133;820.20662;763.34319;635.41897;822.9975;829.73776;768.31361;806.83252;782.58345;737.08196;719.62185;577.66665;737.04106;768.61423;757.78509;795.34004;785.30154;749.95832;741.86776;743.51332;704.92157;669.26527;666.58605;695.95461;722.67731;754.01854;859.21699;664.1251
Nicaragua;;11.67888;11.56468;11.19941;10.40754;10.29406;11.19794;10.65788;10.78709;10.6815;11.30947;10.08214;9.04053;9.82535;9.04068;9.78512;10.16075;10.36916;10.48722;11.07231;11.69465;11.19033;11.68684;11.83331;11.81364;12.31103;12.9353;12.59675;12.54256;12.2939;11.45644
Panama;;93.60795;93.1545;86.26307;85.58009;85.91074;76.47222;77.29642;78.93069;76.12007;72.77678;75.43978;73.50836;72.90127;69.1844;78.81753;81.80471;71.86517;72.46862;74.42041;71.94736;71.16999;68.90553;67.53168;64.45282;73.18914;69.7923;71.53311;72.11392;71.96651;70.47487
Paraguay;;8.79556;8.35033;7.90403;8.29289;8.86183;15.17788;30.11966;43.55942;44.01328;53.08554;54.93574;56.65898;51.83786;56.1844;64.21414;72.09978;73.29558;78.8906;78.4343;79.78119;79.30807;68.68601;70.09848;74.03314;71.22053;69.15098;70.60548;69.57283;71.01146;69.40066
Peru;;23.35824;24.23746;23.60885;21.58086;21.66962;21.53835;22.64372;22.44225;21.89859;19.24108;17.81851;17.30704;16.69388;17.28228;19.27017;19.79588;20.63412;19.56062;19.90068;19.96991;20.2652;20.30077;20.31238;20.43024;20.75705;21.51047;23.18511;22.86146;24.91153;26.28935
Puerto Rico;;133.22556;138.97549;100.96588;96.71324;107.26417;91.91236;98.80236;101.81777;92.14306;89.08477;84.85848;104.72087;92.76138;85.44062;97.52458;98.76783;100.48334;102.22764;104.08655;86.1688;115.53291;124.64471;124.82859;134.10093;136.21825;131.31938;130.98358;108.20301;111.48005;104.68619
